instruction_id,condition,source_type,instruction_text,quality_label,has_medication_review,has_followup,has_warning_signs,has_home_care,has_test_results,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,sentence_count,word_count,pred_has_medication_review,pred_has_followup,pred_has_warning_signs,pred_has_home_care,pred_has_test_results
ROW_001,heart_failure,synthetic_high,"You were treated for heart failure. Take your medicines exactly as prescribed. Weigh yourself every morning before breakfast. Limit salt. Follow up with cardiology within 7 days. Go to the emergency room for chest pain, fainting, or severe shortness of breath.",high,1,1,1,1,0,60.26321951219515,6.890926829268292,7.182439024390243,8.841846274778883,5.0,41.0,1,1,1,1,0
ROW_002,heart_failure,synthetic_medium,Take your heart medicines as prescribed. Limit salt and follow up with your doctor next week. Call if symptoms get worse.,medium,1,1,1,1,0,86.93000000000004,2.873333333333335,4.704761904761905,6.42735559955562,3.0,21.0,1,1,0,1,0
ROW_003,heart_failure,synthetic_low,Stable for discharge. Continue meds. Follow up as needed.,low,0,1,0,0,0,61.26750000000001,5.831666666666667,6.2444444444444445,7.168621630094336,2.0,9.0,0,1,0,0,0
ROW_004,pneumonia,synthetic_high,Take the full antibiotic course even if you feel better. Use your inhaler if prescribed. Drink fluids and rest. Call your doctor if your cough worsens or you have difficulty breathing.,high,1,1,1,1,0,70.70423387096776,5.322822580645163,6.970967741935485,8.07648339933343,4.0,31.0,1,1,0,1,0
ROW_005,pneumonia,synthetic_medium,Complete your medicine and contact your doctor if symptoms worsen.,medium,1,1,0,0,0,52.86500000000001,8.370000000000001,4.0,8.841846274778883,1.0,10.0,1,1,0,0,0
ROW_006,pneumonia,synthetic_low,Go home and continue treatment.,low,0,0,0,0,0,66.40000000000003,5.240000000000002,10.0,8.841846274778883,1.0,5.0,0,0,0,0,0
ROW_007,diabetes,synthetic_high,"Monitor your blood sugar closely at home. Take insulin and medicines exactly as instructed. Follow up with clinic next week. Get help right away for severe low sugar, confusion, or vomiting.",high,1,1,1,1,0,57.059072580645164,7.226048387096778,12.13225806451613,10.686352973137792,4.0,31.0,1,1,0,1,0
ROW_008,diabetes,synthetic_medium,Continue diabetes medications and watch your blood sugar at home.,medium,1,0,0,0,0,35.94500000000002,10.73,16.0,13.023866798666859,1.0,10.0,1,0,0,1,0
ROW_009,diabetes,synthetic_low,Stable for discharge with diabetes treatment.,low,0,0,0,0,0,31.545000000000016,10.350000000000001,9.066666666666668,8.841846274778883,1.0,6.0,0,0,0,0,0
ROW_010,post_surgery,synthetic_high,"Keep your incision clean and dry. Take pain medicine only as directed. Do not lift heavy objects for 2 weeks. Follow up with surgery clinic in 7 days. Go to the emergency room for fever, heavy bleeding, or worsening pain.",high,1,1,1,1,0,69.70000000000002,5.525000000000002,8.200000000000001,9.3871,5.0,40.0,1,1,1,0,0
ROW_011,post_surgery,synthetic_medium,Keep the wound clean and take pain medicine if needed. Follow up with surgery clinic.,medium,1,1,0,1,0,75.14250000000001,4.641666666666666,5.666666666666668,8.841846274778883,2.0,15.0,1,1,0,0,0
ROW_012,post_surgery,synthetic_low,Post-op instructions provided. Activity as tolerated.,low,0,0,0,0,0,-21.809999999999945,17.04666666666667,27.86666666666667,11.20814326018867,2.0,6.0,0,0,0,0,0
ROW_013,copd,synthetic_high,"You were treated for a COPD flare. Rest, use inhalers correctly, and avoid smoking. Seek help right away for severe breathing trouble. Make a follow-up appointment within 7 days.",high,1,1,0,1,0,68.20038793103453,5.547844827586207,8.417241379310346,8.841846274778883,4.0,29.0,0,1,0,1,0
ROW_014,copd,synthetic_medium,Continue breathing treatments and avoid smoking.,medium,0,0,0,1,0,31.545000000000016,10.350000000000001,9.066666666666668,8.841846274778883,1.0,6.0,0,0,0,1,0
ROW_015,copd,synthetic_low,Return home and continue care.,low,0,0,0,0,0,66.40000000000003,5.240000000000002,10.0,8.841846274778883,1.0,5.0,0,0,0,0,0
ROW_016,heart_failure,synthetic_high,Take your heart failure medicines every day. Limit salt and fluids as instructed. Weigh yourself each morning and write it down. Follow up with your heart doctor next week. Seek emergency care for severe breathing trouble or chest pain.,high,1,1,1,1,0,73.10261538461539,5.000717948717952,6.196923076923078,8.238735603445708,5.0,39.0,1,1,1,1,0
ROW_017,heart_failure,synthetic_medium,Take your medications every day and try to limit salt. Contact your doctor if swelling or shortness of breath increases.,medium,1,1,0,1,0,61.32500000000002,7.190000000000001,8.0,10.125756701596842,2.0,20.0,1,1,0,1,0
ROW_018,heart_failure,synthetic_low,Heart failure improved. Continue usual care.,low,0,0,0,0,0,34.59000000000003,9.180000000000003,14.533333333333335,8.841846274778883,2.0,6.0,0,0,0,0,0
ROW_019,pneumonia,synthetic_high,"You were treated for pneumonia. Finish all antibiotics. Rest and drink plenty of fluids. Follow up with your doctor in one week. Seek urgent care for worsening fever, chest pain, or trouble breathing.",high,1,1,1,1,0,69.39054545454547,5.22036363636364,6.276363636363637,7.554174236665414,5.0,33.0,1,1,1,1,0
ROW_020,pneumonia,synthetic_medium,Take antibiotics as directed. Rest and drink fluids. Follow up with your doctor.,medium,1,1,0,1,0,59.26743589743592,6.069230769230771,7.887179487179488,7.793537801064561,3.0,13.0,1,1,0,1,0
ROW_021,pneumonia,synthetic_low,Pneumonia improved. Discharge today.,low,0,0,0,0,0,12.425000000000011,12.52,11.600000000000001,8.841846274778883,1.0,4.0,0,0,0,0,0
ROW_022,diabetes,synthetic_high,"You were treated for diabetes-related problems. Continue insulin and diabetes pills as directed. Watch for sweating, shaking, confusion, or very high sugar readings. Schedule follow-up in 7 days.",high,1,1,1,0,0,36.572857142857174,9.89714285714286,12.8,10.686352973137792,4.0,28.0,1,1,0,0,0
ROW_023,diabetes,synthetic_medium,Check sugars regularly and call your doctor for low blood sugar.,medium,0,1,1,0,0,64.9245454545455,6.936363636363637,8.036363636363637,8.841846274778883,1.0,11.0,0,1,0,0,0
ROW_024,diabetes,synthetic_low,Resume diabetes care at home.,low,0,0,0,0,0,49.48000000000002,7.600000000000001,10.0,8.841846274778883,1.0,5.0,0,0,0,1,0
ROW_025,post_surgery,synthetic_high,"Take your pain medicine only if needed. Keep the wound dry and avoid heavy lifting. Call your surgeon for drainage, redness, fever, or worsening pain. Follow up in one week.",high,1,1,1,1,0,75.14250000000001,4.641666666666666,4.333333333333334,7.168621630094336,4.0,30.0,1,1,1,1,0
ROW_026,post_surgery,synthetic_medium,Take care of the incision and arrange follow-up soon.,medium,0,1,0,0,0,66.10000000000002,6.2755555555555596,12.488888888888889,11.20814326018867,1.0,9.0,1,1,0,0,0
ROW_027,post_surgery,synthetic_low,Surgery recovery stable. Resume routine as able.,low,0,0,0,0,0,21.99678571428572,11.060714285714287,12.82857142857143,8.841846274778883,2.0,7.0,0,0,0,0,0
ROW_028,copd,synthetic_high,Use your inhalers exactly as prescribed. Finish your steroid or antibiotic if one was ordered. Avoid smoke exposure. Follow up with your doctor in one week. Go to urgent care for worsening shortness of breath or blue lips.,high,1,1,1,1,0,67.76836842105266,5.695052631578946,8.303157894736842,8.841846274778883,5.0,38.0,1,1,1,1,0
